_id,fid,perimeter,name,acres,shape_length,shape_area
14891,518,,ST JAMES CEMETERY,4.474430185,0.005657383,1.93E-06
14892,519,,GOOD SHEPARD CEMETERY,178.9941385,0.049325703,7.69E-05
14893,520,,GRANDVIEW CEMETERY,144.1033577,0.038848476,6.19E-05
14894,521,,HOLY TRINITY CEMETERY,4.612418594,0.006481538,1.99E-06
14895,522,,SALEM UNITED METHODIST CEMETERY,1.187597053,0.002962661,5.12E-07
14896,523,,MT PLEASANT CEMETERY,4.618317853,0.00688729,1.99E-06
14897,524,,ST MARYS CEMETERY,23.35484196,0.013099988,1.00E-05
14898,525,,SISTERS OF THE HOLY SPIRIT CEMETERY,5.018128115,0.00612359,2.16E-06
14899,526,,ST JOSEPH CEMETERY,2.597498525,0.004645838,1.12E-06
14900,527,,HILAND PRESBYTERIAN CHURCH CEMETERY,2.396639837,0.00417293,1.03E-06
14901,528,,UNITY COMMUNITY CHURCH CEMETERY,7.212016678,0.008255898,3.10E-06
14902,529,,HOLY TRINITY - ST SAVA CEMETERY,12.40955516,0.010811656,5.32E-06
14903,530,,ST JOHNS LUTHERAN CEMETERY,0.644005841,0.002319091,2.77E-07
14904,531,,TRINITY LUTHERAN CHURCH CEMETERY,0.723916416,0.00317418,3.11E-07
14905,532,,CLINTON UNITED PRESBYTERIAN CHURCH CEMETERY,11.14660694,0.008782479,4.79E-06
14906,533,,WILLIAM PENN MEMORIAL CEMETERY,20.16164013,0.013111698,8.66E-06
14907,534,,ST GEORGE CEMETERY,5.518877978,0.007815648,2.37E-06
14908,535,,BAKERSTOWN FIRST PRESBYTERIAN CEMETERY,0.79067306,0.002528324,3.41E-07
14909,536,,HEBRON UNITED PRESBYTERIAN CHURCH CEMETERY,2.784941889,0.005582521,1.20E-06
14910,537,,JEFFERSON UNITED PRESBYTERIAN CHURCH CEMETERY,1.964013279,0.003794782,8.42E-07
14911,538,,LITTLE HILL UNITED METHODIST CHURCH CEMETERY,0.788343768,0.002680878,3.39E-07
14912,539,,BAIRDFORD UNITED METHODIST CHURCH CEMETERY,0.019122486,0.000368999,8.24E-09
14913,540,,BETH SHALOM CEMETERY,52.68552698,0.020161605,2.27E-05
14914,541,,NORTH ZION LUTHERAN CHURCH CEMETERY,0.906710847,0.002611243,3.89E-07
14915,542,,OLD SAINT LUKES CHURCH CEMETERY,0.41880477,0.001762904,1.80E-07
14916,543,,FRANKLIN PARK BAPTIST CHURCH CEMETERY,0.631803531,0.002155615,2.72E-07
14917,544,,WEST CEMETERY,0.085819795,0.000841528,3.68E-08
14918,545,,WALTER CHAPEL CEMETERY,1.968343446,0.004882972,8.47E-07
14919,546,,ST ALPHONSUS CHURCH CEMETERY,1.881797624,0.003544339,8.11E-07
14920,547,,SHARON PRESBYTERIAN CHURCH CEMETERY,8.516493006,0.011154835,3.66E-06
14921,548,,SISTERS OF CHARITY OF NAZARETH CEMETERY,1.003224753,0.002745146,4.32E-07
14922,549,,SISTERS OF THE DIVINE REDEEMER CEMETERY,13.36482711,0.010848633,5.73E-06
14923,550,,TRINITY CHURCH BURYING GROUND,0.129578308,0.001005925,5.57E-08
14924,551,,SISTERS OF DIVINE PROVIDENCE CEMETERY,0.635188167,0.002096816,2.73E-07
14925,552,,ST JOHNS LUTHERAN CEMETERY,3.753863465,0.005239729,1.62E-06
14926,553,,BLUE RUN CEMETERY,0.39816627,0.001840704,1.71E-07
14927,554,,CONCORD PRESBYTERIAN CHURCH CEMETERY,0.493666276,0.001955905,2.12E-07
14928,555,,DIXMONT STATE HOSPITAL CEMETERY,0.241760971,0.001417664,1.04E-07
14929,556,,ST PHILIP CATHOLIC CHURCH CEMETERY ,2.599843022,0.004691962,1.12E-06
14930,557,,STS PETER & PAUL CEMETERY,3.921213144,0.006356705,1.68E-06
14931,558,,ST JOHN THE BAPTIST BYZANTINE CATHOLIC CEMETERY,9.062928304,0.008497478,3.89E-06
14932,559,,BETH JACOB CEMETERY,0.836230086,0.002979715,3.59E-07
14933,560,,TRINITY LUTHERAN CEMETERY,2.058631347,0.003860724,8.86E-07
14934,561,,FOX CHAPEL PRESBYTERIAN  CHURCH MEMORIAL GARDEN,0.38295905,0.001624211,1.65E-07
14935,562,,KETHER TORAH CEMETERY,5.506721863,0.007211818,2.37E-06
14936,563,,LOBBS CEMETERY,2.649691703,0.004339065,1.14E-06
14937,564,,MATES-LINHART CEMETERY,0.199463704,0.00200575,8.57E-08
14938,565,,MILLER UNITED METHODIST CHURCH CEMETERY,0.457933918,0.001939194,1.97E-07
14939,566,,MOST HOLY NAME CEMETERY,5.363063696,0.006195438,2.31E-06
14940,567,,MT CALVARY CEMETERY,23.99929835,0.015568349,1.03E-05
14941,568,,MT HOPE CEMETERY,14.25948503,0.01560068,6.13E-06
14942,569,,MOUNT NEBO UNITED PRESBYTERIAN CHURCH CEMETERY,2.276349791,0.004332272,9.80E-07
14943,570,,NEVILLE ISLAND PRESBYTERIAN CEMETERY,1.040183135,0.00369296,4.47E-07
14944,571,,PENN FOREST NATURAL BURIAL PARK,32.85146922,0.017166427,1.41E-05
14945,572,,PETERS CREEK BAPTIST CHURCH CEMETERY,1.397488664,0.003177669,5.99E-07
14946,573,,PINE CREEK CEMETERY,0.832065818,0.00242074,3.58E-07
14947,574,,ROBB CEMETERY,0.439101422,0.00188481,1.88E-07
14948,575,,ST AGNES CEMETERY,1.980679964,0.004267441,8.50E-07
14949,576,,ST JOHN CEMETERY,3.89831181,0.005231461,1.67E-06
14950,577,,ST JOHNS LUTHERAN CEMETERY,10.90409606,0.009871963,4.69E-06
14951,578,,TRANSFIGURATION CATHOLIC CEMETERY,1.951936318,0.003713248,8.41E-07
14952,579,,WEAVER AND WADDELL CEMETERY,0.1375029,0.001044143,5.89E-08
14953,580,,ST MARY CATHOLIC CHURCH CEMETERY,0.665107733,0.002149463,2.86E-07
14954,581,,ST PAULS LUTHERAN CEMETERY,1.985617437,0.005553621,8.54E-07
14955,582,,SAINT PAULS LUTHERAN CHURCH CEMETERY,2.562652756,0.005580444,1.10E-06
14956,584,,ST WENCESLAUS CEMETERY - ST BONIFACE CEMETERY,12.095774,0.009282975,5.20E-06
14957,585,,ASCENSION OF OUR LORD BYSANTINE CATHOLIC CHRCH CEM,4.607795,0.007169129,1.98E-06
14958,586,,BENAI EMUNOH - AGADATH ACHIM CEMETERY,16.09901523,0.013294817,6.93E-06
14959,587,,SACRED HEART OF JESUS POLISH NATIONAL CATHOLIC CEM,4.57675756,0.008406544,1.96E-06
14960,588,,0,,0.003130492,4.93E-07
14961,589,,FELECIAN SISTERS CEMETERY,2.095883,0.003905658,9.01E-07
