Census_Tract,Black Total Mortality,White Total Mortality,Total Mortality,Alzheimer's disease,Cancer,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes,Flu and pneumonia,Heart disease,Homicide,Septicemia,Stroke,Suicide,Unintentional injuries
42003130600,182,6,188,5,44,0,9,9,0,45,10,0,7,0,13
42003140100,0,91,92,6,29,0,0,0,0,18,0,0,7,0,0
42003140200,0,30,31,0,9,0,0,0,0,9,0,0,0,0,0
42003140300,0,99,102,0,29,0,0,0,0,24,0,0,7,0,0
42003140400,0,54,55,0,10,0,0,0,0,15,0,0,0,0,5
42003140500,44,20,64,0,20,0,0,0,0,12,0,0,0,0,5
42003140600,6,80,86,7,15,0,7,0,0,23,0,0,0,0,0
42003140800,0,103,105,0,19,0,5,0,0,31,0,0,0,0,6
42003141000,0,30,30,0,10,0,0,0,0,0,0,0,0,0,0
42003141100,0,58,59,0,13,0,0,0,0,11,0,0,0,0,5
42003141300,28,185,213,12,46,0,10,0,5,39,0,7,15,0,9
42003141400,29,426,455,32,75,0,14,5,11,118,0,0,23,6,19
42003151600,0,111,114,0,23,0,9,0,5,23,0,0,6,0,12
42003151700,0,198,199,6,43,0,11,5,0,52,0,0,8,5,18
42003160800,6,93,99,0,13,0,5,0,0,38,0,0,0,0,14
42003160900,12,103,115,0,20,0,6,0,0,42,0,0,0,0,7
42003170200,7,143,150,5,29,0,8,0,8,32,0,0,8,5,17
42003170600,0,99,101,0,20,0,6,0,0,27,0,0,6,0,16
42003180300,42,98,140,0,26,0,7,5,0,29,0,0,5,0,21
42003180700,28,165,193,5,33,5,18,5,5,48,0,0,11,8,23
42003190300,0,87,88,0,22,0,0,0,0,18,0,0,0,0,8
42003191100,0,129,133,0,40,0,12,0,5,28,0,0,0,0,10
42003191400,7,117,124,0,27,0,8,5,0,30,0,0,6,0,10
42003191500,11,81,92,0,12,0,9,0,0,31,0,0,0,0,17
42003191600,25,219,244,0,44,5,18,7,5,73,0,6,7,0,31
42003191700,8,300,308,0,70,0,15,8,10,75,0,5,11,5,24
42003191800,0,202,205,5,53,0,13,0,9,47,0,0,15,0,14
42003191900,0,82,83,0,25,0,0,0,0,13,0,0,0,0,9
42003192000,6,184,190,7,28,0,15,0,0,68,0,0,8,0,15
42003202200,36,118,154,0,32,0,9,5,0,25,6,0,7,0,15
42003202300,0,260,261,11,54,0,10,7,7,57,0,0,17,0,19
42003210700,108,19,127,0,31,0,0,0,0,28,0,0,0,0,14
42003220600,49,34,83,0,23,0,0,0,0,22,0,0,5,0,0
42003240600,15,122,137,0,31,5,8,0,0,38,0,0,5,0,16
42003241200,0,57,62,0,14,0,0,0,0,19,0,0,0,0,10
42003250300,45,10,55,0,8,0,0,0,0,18,0,0,0,0,0
42003250700,21,15,36,0,7,0,0,0,0,12,0,0,0,0,0
42003250900,19,45,64,0,17,0,0,0,0,15,0,0,0,0,8
42003260200,18,57,75,0,13,0,5,0,0,23,0,0,0,0,0
